## spawn-red -> red-0
ROUTE (-32, 76) -> (-2, 135) aim travel: 77 blocks, 10 placed, 2 drop(s), worst drop 8
  place            y   step
  (-32, 76)         21
  (-31, 76)         21
  (-30, 76)         21
  (-29, 76)         21
  (-28, 76)         21
  (-27, 76)         21
  (-26, 76)         21
  (-25, 76)         21
  (-24, 76)         21
  (-23, 76)         21
  (-22, 77)         21
  (-21, 78)         21
  (-20, 79)         21
  (-19, 80)         21
  (-18, 81)         21
  (-17, 82)         21
  (-16, 83)         22
  (-15, 84)         22
  (-15, 85)         23
  (-15, 86)         24
  (-15, 87)         25
  (-15, 88)         25
  (-15, 89)         25
  (-15, 90)         25
  (-15, 91)         26
  (-15, 92)         26
  (-14, 93)         26
  (-13, 94)         25
  (-12, 95)         25
  (-11, 96)         24
  (-10, 97)         23
  (-9, 98)          23
  (-8, 99)          23
  (-7, 100)         23
  (-7, 101)         23
  (-7, 102)         23
  (-7, 103)         23
  (-7, 104)         23
  (-7, 105)         23
  (-7, 106)         23
  (-7, 107)         27   barrier +4
  (-7, 108)         27
  (-7, 109)         23   drop -4
  (-7, 110)         23
  (-7, 111)         23
  (-7, 112)         23
  (-7, 113)         23
  (-7, 114)         23
  (-7, 115)         23
  (-7, 116)         24
  (-6, 117)         25
  (-5, 118)         26
  (-5, 119)         27
  (-5, 120)         27
  (-5, 121)         27
  (-5, 122)         27
  (-5, 123)         27
  (-5, 124)         28
  (-5, 125)         27
  (-5, 126)         27
  (-5, 127)         27
  (-5, 128)         27
  (-5, 129)         27
  (-5, 130)         27
  (-5, 131)         27
  (-5, 132)         35   barrier +8
  (-4, 133)         35
  (-3, 134)         27   drop -8
  (-2, 135)         27
rises 2, falls 2, worst step 8: barrier +4 at (-7, 107); drop -4 at (-7, 109); barrier +8 at (-5, 132); drop -8 at (-3, 134)
beside: spawn spawn-1 at (-32, 76) d0, wool wool-1 at (-5, 132) d0, ironcube spawn-1:0 at (-26, 78) d2

## spawn-red -> orange-0
ROUTE (-32, 76) -> (48, 78) aim travel: 89 blocks, 7 placed, 1 drop(s), worst drop 8
  place            y   step
  (-32, 76)         21
  (-31, 76)         21
  (-30, 76)         21
  (-29, 76)         21
  (-28, 76)         21
  (-27, 76)         21
  (-26, 76)         21
  (-25, 76)         21
  (-24, 76)         21
  (-23, 76)         21
  (-22, 76)         21
  (-21, 76)         21
  (-20, 76)         21
  (-19, 76)         21
  (-18, 76)         21
  (-17, 76)         21
  (-16, 76)         21
  (-15, 76)         21
  (-14, 76)         21
  (-13, 76)         21
  (-12, 76)         21
  (-11, 76)         21
  (-10, 76)         21
  (-9, 76)          21
  (-8, 76)          21
  (-7, 76)          21
  (-6, 76)          21
  (-5, 77)          21
  (-4, 78)          21
  (-3, 79)          21
  (-2, 80)          22
  (-1, 81)          22
  (0, 82)           22
  (1, 83)           22
  (2, 84)           22
  (3, 85)           22
  (4, 86)           22
  (5, 87)           22
  (6, 87)           22
  (7, 87)           22
  (8, 87)           22
  (9, 87)           22
  (10, 87)          22
  (11, 87)          22
  (12, 87)          22
  (13, 87)          22
  (14, 87)          22
  (15, 87)          22
  (16, 87)          22
  (17, 87)          21
  (18, 87)          21
  (19, 87)          21
  (20, 87)          21
  (21, 87)          21
  (22, 87)          21
  (23, 87)          21
  (24, 87)          21
  (25, 87)          20
  (26, 87)          20
  (27, 87)          20
  (28, 87)          19
  (29, 87)          17
  (30, 87)          16
  (31, 87)          16
  (32, 87)          16
  (33, 87)          16
  (34, 87)          16
  (35, 87)          16
  (36, 87)          16
  (37, 87)          16
  (38, 87)          16
  (39, 87)          16
  (40, 87)          16
  (41, 87)          16
  (42, 86)          17
  (43, 85)          19   scramble +2
  (44, 84)          20
  (44, 83)          21
  (45, 82)          28   barrier +7
  (45, 81)          28
  (46, 80)          28
  (47, 79)          20   drop -8
  (48, 78)          20
rises 2, falls 1, worst step 8: scramble +2 at (43, 85); barrier +7 at (45, 82); drop -8 at (47, 79)
beside: spawn spawn-1 at (-32, 76) d0, wool wool-2 at (45, 81) d0, ironcube spawn-1:0 at (-26, 78) d2

## spawn-red -> blue-1
ROUTE (-32, 76) -> (2, -135) aim travel: 230 blocks, 36 placed, 2 drop(s), worst drop 8
  place            y   step
  (-32, 76)         21
  (-31, 76)         21
  (-30, 76)         21
  (-29, 76)         21
  (-28, 76)         21
  (-27, 76)         21
  (-26, 76)         21
  (-25, 76)         21
  (-24, 76)         21
  (-23, 75)         21
  (-22, 74)         21
  (-21, 73)         21
  (-20, 72)         21
  (-19, 71)         21
  (-18, 70)         21
  (-17, 69)         21
  (-16, 68)         20
  (-15, 67)         20
  (-15, 66)         20
  (-15, 65)         20
  (-15, 64)         20
  (-15, 63)         20
  (-15, 62)         20
  (-15, 61)         20
  (-15, 60)         20
  (-15, 59)         19
  (-15, 58)         19
  (-15, 57)         19
  (-15, 56)         19
  (-15, 55)         19
  (-15, 54)         19
  (-15, 53)         19
  (-15, 52)         19
  (-15, 51)         19
  (-15, 50)         18
  (-15, 49)         17
  (-15, 48)         15
  (-15, 47)         12
  (-15, 46)         12
  (-15, 45)         12
  (-15, 44)         12
  (-15, 43)         12
  (-15, 42)         12
  (-15, 41)         12
  (-15, 40)         12
  (-15, 39)         12
  (-15, 38)         11
  (-15, 37)         11
  (-15, 36)         11
  (-15, 35)         10
  (-15, 34)         10
  (-15, 33)         10
  (-15, 32)          9
  (-15, 31)          9
  (-15, 30)          9
  (-14, 29)          9
  (-13, 28)          9
  (-12, 27)          9
  (-11, 26)          9
  (-10, 25)          9
  (-10, 24)          9
  (-10, 23)          9
  (-10, 22)          9
  (-10, 21)          9
  (-10, 20)          9
  (-10, 19)          9
  (-10, 18)          9
  (-10, 17)          9
  (-10, 16)          9
  (-10, 15)          9
  (-10, 14)          9
  (-10, 13)          9
  (-10, 12)          9
  (-10, 11)          9
  (-10, 10)          9
  (-10, 9)           9
  (-10, 8)           9
  (-10, 7)          10
  (-10, 6)          10
  (-10, 5)          10
  (-10, 4)          10
  (-10, 3)          11
  (-10, 2)          11
  (-10, 1)          11
  (-10, 0)          11
  (-10, -1)         11
  (-10, -2)         11
  (-10, -3)         11
  (-10, -4)         11
  (-10, -5)         10
  (-10, -6)         10
  (-10, -7)         10
  (-10, -8)         10
  (-10, -9)          9
  (-10, -10)         9
  (-10, -11)         9
  (-10, -12)         9
  (-10, -13)         9
  (-10, -14)         9
  (-10, -15)         9
  (-10, -16)         9
  (-10, -17)         9
  (-10, -18)         9
  (-10, -19)         9
  (-10, -20)         9
  (-10, -21)         9
  (-10, -22)         9
  (-10, -23)         9
  (-10, -24)         9
  (-10, -25)         9
  (-10, -26)         9
  (-10, -27)         9
  (-10, -28)         9
  (-10, -29)         9
  (-10, -30)         9
  (-10, -31)         9
  (-10, -32)         9
  (-10, -33)         9
  (-10, -34)        10
  (-10, -35)        10
  (-10, -36)        10
  (-10, -37)        10
  (-10, -38)        11
  (-10, -39)        11
  (-10, -40)        11
  (-10, -41)        11
  (-10, -42)        12
  (-10, -43)        12
  (-10, -44)        12
  (-10, -45)        12
  (-10, -46)        12
  (-10, -47)        12
  (-10, -48)        12
  (-10, -49)        12
  (-10, -50)        12
  (-9, -51)         14   scramble +2
  (-9, -52)         15
  (-8, -53)         16
  (-7, -54)         17
  (-7, -55)         18
  (-7, -56)         19
  (-7, -57)         19
  (-7, -58)         19
  (-7, -59)         19
  (-7, -60)         19
  (-7, -61)         19
  (-7, -62)         19
  (-6, -63)         19
  (-5, -64)         19
  (-4, -65)         19
  (-3, -66)         19
  (-2, -67)         20
  (-1, -68)         20
  (0, -69)          20
  (1, -70)          20
  (2, -71)          20
  (2, -72)          20
  (2, -73)          21
  (2, -74)          21
  (2, -75)          21
  (2, -76)          21
  (2, -77)          21
  (2, -78)          21
  (2, -79)          21
  (2, -80)          21
  (2, -81)          22
  (2, -82)          22
  (2, -83)          22
  (2, -84)          22
  (2, -85)          22
  (2, -86)          22
  (2, -87)          22
  (2, -88)          22
  (2, -89)          22
  (2, -90)          22
  (2, -91)          22
  (2, -92)          23
  (2, -93)          23
  (2, -94)          23
  (2, -95)          23
  (2, -96)          23
  (2, -97)          23
  (2, -98)          23
  (2, -99)          23
  (2, -100)         23
  (2, -101)         23
  (2, -102)         23
  (2, -103)         23
  (2, -104)         23
  (2, -105)         23
  (2, -106)         23
  (2, -107)         23
  (2, -108)         27   barrier +4
  (2, -109)         27
  (2, -110)         23   drop -4
  (2, -111)         23
  (2, -112)         23
  (2, -113)         23
  (2, -114)         23
  (2, -115)         23
  (2, -116)         23
  (2, -117)         23
  (2, -118)         23
  (2, -119)         24
  (2, -120)         25
  (2, -121)         26
  (2, -122)         27
  (2, -123)         27
  (2, -124)         27
  (2, -125)         28
  (2, -126)         27
  (2, -127)         27
  (2, -128)         27
  (2, -129)         27
  (2, -130)         27
  (2, -131)         27
  (2, -132)         27
  (2, -133)         35   barrier +8
  (2, -134)         35
  (2, -135)         27   drop -8
rises 3, falls 2, worst step 8: scramble +2 at (-9, -51); barrier +4 at (2, -108); drop -4 at (2, -110); barrier +8 at (2, -133); drop -8 at (2, -135)
beside: spawn spawn-1 at (-32, 76) d0, wool wool-1#1 at (2, -135) d0, ironcube spawn-1:0 at (-26, 78) d2

## spawn-red -> light_blue-1
ROUTE (-32, 76) -> (-48, -78) aim travel: 184 blocks, 43 placed, 3 drop(s), worst drop 8
  place            y   step
  (-32, 76)         21
  (-31, 76)         21
  (-30, 76)         21
  (-29, 76)         21
  (-28, 76)         21
  (-27, 76)         21
  (-26, 76)         21
  (-25, 76)         21
  (-24, 76)         21
  (-23, 75)         21
  (-22, 74)         21
  (-21, 73)         21
  (-20, 72)         21
  (-19, 71)         21
  (-18, 70)         21
  (-17, 69)         21
  (-16, 68)         20
  (-16, 67)         20
  (-16, 66)         20
  (-16, 65)         20
  (-16, 64)         20
  (-16, 63)         20
  (-16, 62)         20
  (-16, 61)         20
  (-16, 60)         19
  (-16, 59)         19
  (-16, 58)         19
  (-16, 57)         19
  (-16, 56)         19
  (-16, 55)         19
  (-16, 54)         19
  (-16, 53)         19
  (-16, 52)         19
  (-16, 51)         19
  (-16, 50)         19
  (-16, 49)         18
  (-16, 48)         16
  (-16, 47)         14
  (-16, 46)         12
  (-16, 45)         12
  (-16, 44)         12
  (-16, 43)         12
  (-16, 42)         12
  (-16, 41)         12
  (-16, 40)         12
  (-16, 39)         12
  (-16, 38)         11
  (-16, 37)         11
  (-16, 36)         11
  (-16, 35)         10
  (-16, 34)         10
  (-16, 33)         10
  (-16, 32)          9
  (-16, 31)          9
  (-16, 30)          9
  (-16, 29)          9
  (-16, 28)          9
  (-16, 27)          9
  (-16, 26)          9
  (-16, 25)          9
  (-16, 24)          9
  (-16, 23)          9
  (-16, 22)          9
  (-16, 21)          9
  (-16, 20)          9
  (-16, 19)          9
  (-16, 18)          9
  (-16, 17)          9
  (-16, 16)          9
  (-16, 15)          9
  (-16, 14)          9
  (-16, 13)          9
  (-16, 12)          9
  (-16, 11)          9
  (-16, 10)          9
  (-16, 9)           9
  (-16, 8)           9
  (-16, 7)          10
  (-16, 6)          10
  (-16, 5)          10
  (-16, 4)          10
  (-16, 3)          11
  (-16, 2)          11
  (-16, 1)          11
  (-16, 0)          11
  (-16, -1)         11
  (-16, -2)         11
  (-16, -3)         11
  (-16, -4)         11
  (-16, -5)         10
  (-16, -6)         10
  (-16, -7)         10
  (-16, -8)         10
  (-16, -9)          9
  (-16, -10)         9
  (-16, -11)         9
  (-16, -12)         9
  (-16, -13)         9
  (-16, -14)         9
  (-16, -15)         9
  (-16, -16)         9
  (-16, -17)         9
  (-16, -18)         9
  (-16, -19)         9
  (-16, -20)         9
  (-16, -21)         9
  (-16, -22)         9
  (-16, -23)         9
  (-16, -24)         9
  (-16, -25)         9
  (-16, -26)         9
  (-16, -27)         9
  (-16, -28)         9
  (-16, -29)         9
  (-16, -30)         9
  (-16, -31)         9
  (-16, -32)         9
  (-16, -33)         9
  (-16, -34)        10
  (-16, -35)        10
  (-16, -36)        10
  (-16, -37)        10
  (-16, -38)        11
  (-16, -39)        11
  (-16, -40)        11
  (-16, -41)        11
  (-16, -42)        12
  (-16, -43)        12
  (-16, -44)        12
  (-16, -45)        12
  (-16, -46)        12
  (-16, -47)        12
  (-16, -48)        13
  (-16, -49)        14
  (-16, -50)        16   scramble +2
  (-16, -51)        18   scramble +2
  (-16, -52)        19
  (-16, -53)        19
  (-17, -53)        19
  (-18, -54)        19
  (-19, -55)        12   drop -7
  (-20, -56)        13
  (-21, -57)        14
  (-22, -58)        15
  (-23, -59)        15
  (-24, -60)        16
  (-25, -61)        17
  (-26, -61)        18
  (-27, -61)        19
  (-28, -61)        19
  (-29, -61)        20
  (-30, -61)        20
  (-31, -61)        20
  (-32, -61)        20
  (-33, -61)        20
  (-34, -61)        20
  (-35, -62)        20
  (-36, -63)        24   barrier +4
  (-37, -64)        24
  (-38, -65)        20   drop -4
  (-39, -66)        20
  (-40, -67)        20
  (-41, -68)        20
  (-42, -69)        20
  (-43, -70)        20
  (-44, -71)        20
  (-45, -72)        20
  (-45, -73)        21
  (-46, -74)        28   barrier +7
